"ANYREGION","ITEM_AG","Year","Scen","value"
"EST","CRP",2050,"FP_SOC",1
"EST","CRP",2050,"EA_SOC",1
"EST","CRP",2050,"FP_PTL",1
"EST","CRP",2050,"EA_PTL",1
"FIN","GRS",2000,"FP_SOC",1
"FIN","GRS",2000,"EA_SOC",1
"FIN","GRS",2000,"FP_PTL",1
"FIN","GRS",2000,"EA_PTL",1
"FIN","GRS",2010,"FP_SOC",1
"FIN","GRS",2010,"EA_SOC",1
"FIN","GRS",2010,"FP_PTL",1
"FIN","GRS",2010,"EA_PTL",1
"FIN","GRS",2020,"FP_SOC",1
"FIN","GRS",2020,"EA_SOC",1
"FIN","GRS",2020,"FP_PTL",1
"FIN","GRS",2020,"EA_PTL",1
"FIN","GRS",2030,"FP_SOC",1.00026311521258
"FIN","GRS",2030,"EA_SOC",0.968304918215944
"FIN","GRS",2030,"FP_PTL",0.999987169692704
"FIN","GRS",2030,"EA_PTL",1.00951085417347
"FIN","GRS",2040,"FP_SOC",0.999974562725943
"FIN","GRS",2040,"EA_SOC",0.964380046588579
"FIN","GRS",2040,"FP_PTL",0.999322279606973
"FIN","GRS",2040,"EA_PTL",1.01579913446687
"FIN","GRS",2050,"FP_SOC",0.999955222925363
"FIN","GRS",2050,"EA_SOC",0.962642200842023
"FIN","GRS",2050,"FP_PTL",0.999150896667702
"FIN","GRS",2050,"EA_PTL",1.02092834029104
"FIN","CRP",2000,"FP_SOC",1
"FIN","CRP",2000,"EA_SOC",1
"FIN","CRP",2000,"FP_PTL",1
"FIN","CRP",2000,"EA_PTL",1
"FIN","CRP",2010,"FP_SOC",1
"FIN","CRP",2010,"EA_SOC",1
"FIN","CRP",2010,"FP_PTL",1
"FIN","CRP",2010,"EA_PTL",1
"FIN","CRP",2020,"FP_SOC",1
"FIN","CRP",2020,"EA_SOC",1
"FIN","CRP",2020,"FP_PTL",1
"FIN","CRP",2020,"EA_PTL",1
"FIN","CRP",2030,"FP_SOC",1.00017695785752
"FIN","CRP",2030,"EA_SOC",0.968564814282703
"FIN","CRP",2030,"FP_PTL",0.969441991968099
"FIN","CRP",2030,"EA_PTL",1.02261212408191
"FIN","CRP",2040,"FP_SOC",1.00189727662833
"FIN","CRP",2040,"EA_SOC",0.99832347327687
"FIN","CRP",2040,"FP_PTL",0.988411665742558
"FIN","CRP",2040,"EA_PTL",1.02248758692101
"FIN","CRP",2050,"FP_SOC",0.996875205098229
"FIN","CRP",2050,"EA_SOC",0.98701632395241
"FIN","CRP",2050,"FP_PTL",0.986270187472811
"FIN","CRP",2050,"EA_PTL",1.01644106331997
"FRA","GRS",2000,"FP_SOC",1
"FRA","GRS",2000,"EA_SOC",1
"FRA","GRS",2000,"FP_PTL",1
"FRA","GRS",2000,"EA_PTL",1
"FRA","GRS",2010,"FP_SOC",1
"FRA","GRS",2010,"EA_SOC",1
"FRA","GRS",2010,"FP_PTL",1
"FRA","GRS",2010,"EA_PTL",1
"FRA","GRS",2020,"FP_SOC",1
"FRA","GRS",2020,"EA_SOC",1
"FRA","GRS",2020,"FP_PTL",1
"FRA","GRS",2020,"EA_PTL",1
"FRA","GRS",2030,"FP_SOC",0.994688873701814
"FRA","GRS",2030,"EA_SOC",0.970752323916691
"FRA","GRS",2030,"FP_PTL",1
"FRA","GRS",2030,"EA_PTL",1.00048138540065
"FRA","GRS",2040,"FP_SOC",0.994988462791985
"FRA","GRS",2040,"EA_SOC",0.952682514771534
"FRA","GRS",2040,"FP_PTL",0.999998115876842
"FRA","GRS",2040,"EA_PTL",1.00042429617985
"FRA","GRS",2050,"FP_SOC",0.99426413484726
"FRA","GRS",2050,"EA_SOC",0.946682264382914
"FRA","GRS",2050,"FP_PTL",0.999507167941891
"FRA","GRS",2050,"EA_PTL",1.00208352818187
"FRA","CRP",2000,"FP_SOC",1
"FRA","CRP",2000,"EA_SOC",1
"FRA","CRP",2000,"FP_PTL",1
"FRA","CRP",2000,"EA_PTL",1
"FRA","CRP",2010,"FP_SOC",1
"FRA","CRP",2010,"EA_SOC",1
"FRA","CRP",2010,"FP_PTL",1
"FRA","CRP",2010,"EA_PTL",1
"FRA","CRP",2020,"FP_SOC",1
"FRA","CRP",2020,"EA_SOC",1
"FRA","CRP",2020,"FP_PTL",1
"FRA","CRP",2020,"EA_PTL",1
"FRA","CRP",2030,"FP_SOC",1.01303001907336
"FRA","CRP",2030,"EA_SOC",1.0030681285836
"FRA","CRP",2030,"FP_PTL",0.999959497342608
"FRA","CRP",2030,"EA_PTL",1.00019916861028
"FRA","CRP",2040,"FP_SOC",1.01335836599984
"FRA","CRP",2040,"EA_SOC",1.00338789130328
"FRA","CRP",2040,"FP_PTL",1.00001338928502
"FRA","CRP",2040,"EA_PTL",0.998989182860212
"FRA","CRP",2050,"FP_SOC",1.0121558456723
"FRA","CRP",2050,"EA_SOC",1.00572150630621
"FRA","CRP",2050,"FP_PTL",1.00008547106845
"FRA","CRP",2050,"EA_PTL",0.998832246638282
"GRC","GRS",2000,"FP_SOC",1
"GRC","GRS",2000,"EA_SOC",1
"GRC","GRS",2000,"FP_PTL",1
"GRC","GRS",2000,"EA_PTL",1
"GRC","GRS",2010,"FP_SOC",1
"GRC","GRS",2010,"EA_SOC",1
"GRC","GRS",2010,"FP_PTL",1
"GRC","GRS",2010,"EA_PTL",1
"GRC","GRS",2020,"FP_SOC",1
"GRC","GRS",2020,"EA_SOC",1
"GRC","GRS",2020,"FP_PTL",1
"GRC","GRS",2020,"EA_PTL",1
"GRC","GRS",2030,"FP_SOC",1.0000321863752
"GRC","GRS",2030,"EA_SOC",0.999599602117429
"GRC","GRS",2030,"FP_PTL",1
"GRC","GRS",2030,"EA_PTL",1
"GRC","GRS",2040,"FP_SOC",1.00001681588217
"GRC","GRS",2040,"EA_SOC",0.930635831141341
"GRC","GRS",2040,"FP_PTL",1
"GRC","GRS",2040,"EA_PTL",1.00000314752539
"GRC","GRS",2050,"FP_SOC",0.999975517346171
"GRC","GRS",2050,"EA_SOC",0.867087685126101
"GRC","GRS",2050,"FP_PTL",1.00000030899373
"GRC","GRS",2050,"EA_PTL",0.999841039621798
"GRC","CRP",2000,"FP_SOC",1
"GRC","CRP",2000,"EA_SOC",1
"GRC","CRP",2000,"FP_PTL",1
"GRC","CRP",2000,"EA_PTL",1
"GRC","CRP",2010,"FP_SOC",1
"GRC","CRP",2010,"EA_SOC",1
