"Model","Scenario","Region","Item","Variable","Year","Unit","Value"
"GLOBIOM","Base_EAFRS","ANZ","FOR","AREA",2020,"1000 ha",172903.834
"GLOBIOM","Base_EAFRS","ANZ","FOR","AREA",2030,"1000 ha",172903.834
"GLOBIOM","Base_EAFRS","ANZ","FOR","AREA",2040,"1000 ha",172903.834
"GLOBIOM","Base_EAFRS","ANZ","FOR","AREA",2050,"1000 ha",172903.834
"GLOBIOM","Base_EAFRS","USA","FOR","AREA",2000,"1000 ha",330832.52
"GLOBIOM","Base_EAFRS","USA","FOR","AREA",2010,"1000 ha",330832.52
"GLOBIOM","Base_EAFRS","USA","FOR","AREA",2020,"1000 ha",330832.52
"GLOBIOM","Base_EAFRS","USA","FOR","AREA",2030,"1000 ha",330832.52
"GLOBIOM","Base_EAFRS","USA","FOR","AREA",2040,"1000 ha",330832.52
"GLOBIOM","Base_EAFRS","USA","FOR","AREA",2050,"1000 ha",330832.52
"GLOBIOM","Base_EAFRS","SAS","FOR","AREA",2000,"1000 ha",560653.362
"GLOBIOM","Base_EAFRS","SAS","FOR","AREA",2010,"1000 ha",553370.308766835
"GLOBIOM","Base_EAFRS","SAS","FOR","AREA",2020,"1000 ha",546488.812989505
"GLOBIOM","Base_EAFRS","SAS","FOR","AREA",2030,"1000 ha",540343.716004505
"GLOBIOM","Base_EAFRS","SAS","FOR","AREA",2040,"1000 ha",533744.367906042
"GLOBIOM","Base_EAFRS","SAS","FOR","AREA",2050,"1000 ha",527048.664391267
"GLOBIOM","Base_EAFRS","NAM","FOR","AREA",2000,"1000 ha",765226.21
"GLOBIOM","Base_EAFRS","NAM","FOR","AREA",2010,"1000 ha",765226.21
"GLOBIOM","Base_EAFRS","NAM","FOR","AREA",2020,"1000 ha",765226.21
"GLOBIOM","Base_EAFRS","NAM","FOR","AREA",2030,"1000 ha",765226.21
"GLOBIOM","Base_EAFRS","NAM","FOR","AREA",2040,"1000 ha",765226.21
"GLOBIOM","Base_EAFRS","NAM","FOR","AREA",2050,"1000 ha",765226.21
"GLOBIOM","Base_EAFRS","FSU","FOR","AREA",2000,"1000 ha",842866.867
"GLOBIOM","Base_EAFRS","FSU","FOR","AREA",2010,"1000 ha",842866.867
"GLOBIOM","Base_EAFRS","FSU","FOR","AREA",2020,"1000 ha",842866.866999998
"GLOBIOM","Base_EAFRS","FSU","FOR","AREA",2030,"1000 ha",842866.866999999
"GLOBIOM","Base_EAFRS","FSU","FOR","AREA",2040,"1000 ha",842866.866999999
"GLOBIOM","Base_EAFRS","FSU","FOR","AREA",2050,"1000 ha",842866.866999999
"GLOBIOM","Base_EAFRS","BRA","FOR","AREA",2000,"1000 ha",493072.467
"GLOBIOM","Base_EAFRS","BRA","FOR","AREA",2010,"1000 ha",490882.876177306
"GLOBIOM","Base_EAFRS","BRA","FOR","AREA",2020,"1000 ha",487846.340454664
"GLOBIOM","Base_EAFRS","BRA","FOR","AREA",2030,"1000 ha",482933.100869936
"GLOBIOM","Base_EAFRS","BRA","FOR","AREA",2040,"1000 ha",477801.436442775
"GLOBIOM","Base_EAFRS","BRA","FOR","AREA",2050,"1000 ha",472242.412196024
"GLOBIOM","Base_EAFRS","CAN","FOR","AREA",2000,"1000 ha",434393.69
"GLOBIOM","Base_EAFRS","CAN","FOR","AREA",2010,"1000 ha",434393.69
